,Session,MoA,Location,Outline Link
627,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS3801/2024-S1C-ND-CC
628,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS3101/2024-S1C-ND-CC
629,"Intensive July 2024
														
Departmental Permission",Block mode,"Camperdown/Darlington, Sydney",Outline unavailable
630,"Intensive July 2024
														
Departmental Permission",Block mode,"Camperdown/Darlington, Sydney",/units/GEOS3008/2024-S2CIJL-BM-CC
631,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS2924/2024-S2C-ND-CC
632,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS2124/2024-S2C-ND-CC
633,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS2914/2024-S1C-ND-CC
634,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS2114/2024-S1C-ND-CC
635,"Semester 2 2024
														
Departmental Permission",Normal day,"Camperdown/Darlington, Sydney",/units/GEOS1903/2024-S2C-ND-CC
636,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS1003/2024-S2C-ND-CC
637,Intensive February 2024,Block mode,"Camperdown/Darlington, Sydney",/units/GEOS1003/2024-S1CIFE-BM-CC
638,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS3803/2024-S1C-ND-CC
639,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS3103/2024-S1C-ND-CC
640,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS3909/2024-S1C-ND-CC
641,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS3009/2024-S1C-ND-CC
642,Semester 2 2024,Block mode,"Camperdown/Darlington, Sydney",/units/GEOG3888/2024-S2C-BM-CC
643,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS2923/2024-S1C-ND-CC
644,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS2123/2024-S1C-ND-CC
645,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS2916/2024-S2C-ND-CC
646,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS2116/2024-S2C-ND-CC
647,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS2911/2024-S2C-ND-CC
648,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEOS2111/2024-S2C-ND-CC
649,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GEGE3888/2024-S2C-ND-CC
650,Semester 1 2024,Normal day,"Camperdown/Darlington, Sydney",/units/AVBS2005/2024-S1C-ND-CC
651,Semester 2 2024,Normal day,"Camperdown/Darlington, Sydney",/units/GCST2610/2024-S2C-ND-CC
